id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
17170	systems architecture	0.0275	0.5253	5	66	93	8	2022.5	24.375	1.2464
17183	tactile internet	0.0244	0.7853	3	84	128	10	2021.5	129	3.1933
17209	target tracking	0.0855	-0.9239	1	66	92	12	2023.1667	22.6667	1.0945
17211	task	1.1055	0.1674	2	186	474	47	2023.2979	17.8085	1.3855
17212	task allocation	0.2775	0.435	5	195	543	59	2022.4407	23.7627	1.0492
17216	task analysis	0.6754	-0.1638	2	809	11617	1032	2022.2626	34.5891	1.5259
17219	task assignment	0.4562	0.0491	5	143	242	23	2022.1739	29.7826	1.9072
17239	task dependency	0.8329	0.6483	6	58	99	10	2023.3	24.9	1.117
17254	task offloading	0.822	0.3375	2	506	3520	414	2023.1449	19.6401	1.1909
17265	task partitioning	0.546	-0.2943	2	70	100	8	2022.375	45.25	1.5546
17282	task scheduling	0.5947	0.7757	5	235	876	107	2022.5888	28.0654	1.1238
17301	tasks	0.7767	1.0104	5	54	77	10	2022.4	5.3	0.3083
17311	taxonomy	-0.5707	0.4937	3	206	472	40	2020.8	117.25	2.4524
17338	technological innovation	-0.1371	0.4328	4	75	99	8	2022.625	29.125	1.0198
17340	technologies	-0.4685	0.2495	3	363	1286	123	2021.7154	54.5203	2.1538
17341	technology	-0.6677	-0.1366	1	178	371	46	2021.8261	37.9348	1.4683
17357	telecommunication traffic	0.1544	0.3547	6	94	141	12	2023.6667	2.25	0.3722
17375	temperature sensors	-0.2926	-0.3941	1	117	194	20	2022.8	39.35	1.8325
17403	tensors	-0.0012	-0.615	1	60	88	11	2023.0909	9.3636	0.5711
17430	terrestrial networks	1.3017	0.5489	2	55	103	9	2023.4444	36.2222	1.5221
17497	things	-0.4089	0.3685	3	804	8293	933	2021.4673	37.5723	1.1336
17500	things iot	-0.9556	-0.0595	1	133	284	34	2021.2353	58.4412	1.7127
17502	things security	-1.2202	0.479	4	60	116	10	2021.7	79	2.4452
17520	threats	-1.2839	0.2582	4	70	151	14	2021.7143	59.5714	1.6145
17524	three-dimensional displays	0.2428	-0.7404	1	160	286	30	2023	15.0333	1.0504
17545	throughput	0.3921	-0.0943	2	324	903	91	2022.9011	10.5055	0.838
17546	throughput maximization	1.1349	-0.3957	2	69	113	14	2022.0714	42.1429	1.6269
17558	time	0.3396	-0.1483	2	276	677	76	2022.3158	20.7237	1.017
17571	time division multiple access	1.2169	-0.5391	2	105	185	15	2022.9333	25.3333	1.3507
17573	time factors	0.2524	0.2976	5	217	593	51	2022.3725	25	1.0669
17587	time series analysis	-0.3706	-0.8959	1	74	110	13	2023.1538	12.7692	0.7696
17610	time-frequency analysis	0.7303	-0.7969	2	64	98	10	2022.9	26.5	1.492
17658	tiny machine learning	-0.7097	-1.0042	1	52	81	11	2024.0909	6.5455	0.606
17668	tinyml	-0.5947	-0.6844	1	107	183	27	2023.2963	30.5926	1.8701
17678	to-device communications	0.6555	0.3217	2	74	101	11	2021.3636	37.8182	0.9096
17695	toolkit	-0.393	1.0235	3	154	473	47	2021.8511	29.0851	1.0874
17696	tools	-0.3263	0.2956	3	71	103	8	2020.375	41	1.0637
17706	topology	0.1076	0.3701	5	165	338	31	2022.1613	19	0.7876
17733	traceability	-0.8347	0.4386	4	53	68	10	2022	70.8	1.4914
17740	tracking	-0.2497	-0.6823	1	107	166	31	2022.4839	11.3871	0.55
17753	tradeoff	0.8042	-0.0095	2	76	101	9	2021.6667	101.5556	1.7074
17760	traffic classification	-0.0337	-0.0166	3	61	78	8	2022.875	25.75	1.111
17763	traffic control	0.2469	-0.3108	1	77	93	8	2023.5	12.125	0.9662
17781	traffic management	-0.2753	-0.1545	1	65	96	10	2022.7	11.1	1.2121
17790	traffic prediction	-0.0218	0.0218	3	59	78	8	2022.125	42.125	3.1084
17811	training	-0.0467	-0.7127	1	498	3127	307	2023.1336	32.7883	1.6581
17814	training data	-0.3545	-0.9699	1	67	107	12	2021.5833	52.8333	1.9022
17822	trajectory	0.7916	-0.4175	2	291	1209	105	2023.2952	24.0667	1.4968
17827	trajectory design	1.0636	-0.3605	2	154	388	33	2022.697	59.9697	2.5746
17829	trajectory optimization	1.2849	-0.3059	2	183	658	62	2022.871	38.5806	1.7882
17830	trajectory planning	1.068	-0.1199	2	125	265	26	2023.6154	10.8462	1.4141
17847	transcoding	0.7717	0.193	6	56	93	8	2023.25	14.875	0.6008
17851	transfer learning	-0.4181	-0.8685	1	134	266	37	2022.5405	20.6757	1.1057
17865	transformers	-0.0624	-0.8607	1	96	173	19	2024.4211	4.9474	1.2428
17877	transmission	0.6115	-0.0858	2	209	459	58	2021.3103	26.3966	1.1614
17910	transportation	-0.0129	-0.4173	1	105	169	17	2023.2353	12.6471	1.3346
17930	trends	-0.3987	0.2546	3	122	222	24	2022.5	28.6667	2.1932
17951	trust	-0.6742	0.607	4	169	414	50	2021.34	29.9	1.2007
17960	trust evaluation	-0.2871	0.6441	4	54	80	10	2022.5	34.7	1.7651
17963	trust management	-0.4921	0.7111	4	94	168	20	2022.6	39.4	1.1625
18035	tutorials	-0.2063	0.5293	3	132	196	12	2021.0833	151.25	4.0174
18078	uav	0.9124	-0.132	2	265	883	90	2023.2444	17.0778	1.4653
18138	uavs	0.386	-0.3688	2	125	206	24	2022	30.5	1.4232
18148	ubiquitous computing	-0.3274	0.1907	3	85	122	17	2019.6471	18.0588	0.5214
18171	ultra reliable low latency communication	0.3332	0.0853	3	149	288	24	2023	26.25	1.5523
18223	uncertainty	0.2938	-0.158	1	177	351	37	2022.6216	16.4324	0.6621
18232	uncrewed aerial vehicle (uav)	1.1567	-0.0614	6	57	107	8	2025	1	0.961
18279	unmanned aerial vehicle	0.9528	0.0573	2	200	585	65	2022.7077	39.0769	1.5055
18281	unmanned aerial vehicle (uav)	0.8678	-0.6014	2	256	1008	101	2023.0099	33.901	1.9092
18311	unmanned aerial vehicles	0.6802	-0.4759	2	280	943	94	2021.8617	54.4255	1.7878
18313	unmanned aerial vehicles (uav)	1.2895	-0.448	2	57	84	6	2021.6667	50	1.6931
18314	unmanned aerial vehicles (uavs)	0.8926	-0.4207	2	192	526	48	2022.625	44.7917	1.7534
18354	uplink	0.8467	-0.4326	2	163	371	33	2022.4848	23.9394	1.0162
18369	urban areas	-0.0196	-0.2018	1	136	223	24	2022.2083	27.2917	0.9671
18393	urllc	0.3696	0.061	3	116	211	23	2022.0435	33.7391	1.0276
18407	user association	0.9117	0.0286	2	124	243	24	2022.9583	25.7917	0.9871
18408	user authentication	-1.0981	0.1935	4	87	193	21	2022.2857	16.5238	0.8267
18450	users	0.3269	0.0309	2	93	128	14	2021	28.0714	0.7112
18455	utility	0.3591	0.5381	4	75	128	13	2021.6923	37	1.2749
18500	vanet	0.082	0.1653	1	67	98	14	2021.2143	40.7143	1.5776
18501	vanets	-0.7091	0.505	4	106	198	24	2021.7917	25.0833	1.0858
18529	vectors	0.2831	-0.613	1	122	211	21	2024.8571	1.0952	0.8231
18534	vehicle	0.0517	0.4643	3	99	149	19	2021.7895	40.9474	1.4106
18542	vehicle dynamics	0.5771	0.2164	6	292	1120	95	2023.6632	15.7263	1.2029
18577	vehicle-to-everything	0.2023	-0.203	1	140	242	24	2022.75	30.0417	1.2029
18584	vehicle-to-infrastructure	0.0829	0.5153	4	66	85	8	2022.75	16.375	0.801
18589	vehicles	0.0112	0.0594	1	282	675	72	2021.8194	45.25	1.4673
18594	vehicular ad hoc networks	-0.083	0.4324	4	178	357	33	2022.0909	32.5758	1.6749
18619	vehicular edge computing	0.5005	0.341	2	167	383	44	2022.6364	55.25	1.7215
18620	vehicular edge computing (vec)	0.7573	0.2829	6	139	356	35	2023.2286	41.7143	2.0089
18632	vehicular fog computing	0.1485	0.8674	3	55	75	6	2022.3333	31.3333	1.0718
18633	vehicular fog computing (vfc)	0.843	0.2841	6	51	76	6	2021.5	47.3333	1.5258
18644	vehicular network	0.5131	0.6307	4	89	156	17	2022.2941	33.7647	1.6702
18646	vehicular networks	0.1945	0.3718	3	274	723	81	2021.4321	57.9753	1.68
18671	verification	-0.5391	0.4237	4	55	82	13	2022.5385	7.3077	1.1809
18701	video	0.0018	-0.5635	1	86	120	14	2021.4286	118.1429	1.8999
18704	video analytics	0.2818	-0.271	1	99	166	21	2022.4286	34.2857	1.0458
18731	video streaming	0.2771	0.4759	3	69	97	10	2021	40.8	1.3489
18768	virtual machine migration	0.3303	1.0222	3	61	88	8	2022.25	51.25	1.5851
18778	virtual machining	0.2475	0.6087	3	86	141	13	2021.6154	18.1538	0.7007
18803	virtual reality	0.1064	-0.2923	3	82	122	12	2021.75	87.6667	1.8294
18812	virtual-reality	-0.3455	0.1473	3	71	94	10	2021.6	93.1	2.4315
18815	virtualization	-0.2453	0.5727	3	196	523	56	2021.1786	54.3929	1.4037
18834	vision	-0.0198	-0.1405	3	219	478	44	2021.75	78.8409	2.1861
18841	visual analytics	0.37	-0.6339	1	65	134	14	2023	11.2857	0.7147
18859	visualization	-0.1848	-0.8176	1	95	142	16	2023.5625	11.9375	0.9904
18918	vulnerabilities	-1.2213	0.2927	4	52	81	8	2022.5	66.375	2.7849
18990	wban	-0.7558	0.4238	3	61	78	7	2020.5714	86.4286	2.1639
19005	wearable devices	-0.9961	-0.3736	1	74	119	14	2023.0714	44.7857	1.4415
19016	wearable sensors	-0.4718	-0.8873	1	65	99	12	2022.5833	19.3333	0.9119
19019	wearables	-0.7461	-0.5558	1	84	120	12	2021.1667	34.0833	0.9235
19023	web	-0.4717	0.0579	3	61	94	15	2020.5333	22.5333	0.4452
19125	wireless	0.2436	-0.0635	2	275	656	93	2021.1398	27.7957	0.9242
19144	wireless cellular networks	0.9663	0.6451	6	95	172	19	2020.6842	131.5263	2.9971
19147	wireless communication	0.5998	-0.5222	2	548	3296	300	2022.42	38.8067	1.5947
19151	wireless communications	0.4161	-0.1753	2	136	227	22	2021.8182	30.0909	1.4391
19158	wireless fidelity	0.1796	-0.5989	1	172	376	42	2022.619	22.6905	1.1484
19174	wireless network	0.8634	-0.5575	2	80	126	11	2022.4545	53	2.2371
19182	wireless networks	0.369	-0.0617	2	404	1287	110	2021.8364	66.8273	2.1099
19187	wireless power transfer	1.079	-0.4759	2	131	406	48	2022.4583	75.375	1.9741
19188	wireless power transfer (wpt)	1.2273	-0.4932	2	124	354	34	2022.4118	35.0882	1.2632
19211	wireless sensor network	-0.4397	-0.0206	1	111	191	34	2020.4706	34.5294	0.8534
19213	wireless sensor networks	0.0307	-0.215	1	521	2123	248	2021.3468	37.9758	1.0022
19263	workflow	0.6073	0.874	5	90	185	18	2021.6667	27.2778	0.8634
19273	workload allocation	0.6587	0.5211	5	82	132	15	2020.7333	70.7333	0.8449
19297	wsn	-0.8166	0.5706	3	65	121	19	2020.5263	33.7368	0.4748
19320	yolo	-0.135	-0.6609	1	59	82	10	2024.5	3.8	0.761
19359	zigbee	-0.0403	-0.8211	1	52	81	12	2022.4167	16.6667	0.6981
